001,Tempe,GGMA,Grady Gammage Memorial Auditorium
002,Tempe,INTDSA,Interdisciplinary A
003,Tempe,INTDSB,Interdisciplinary B
004,Tempe,SHESC,School of Human Evolution and Social Change
005,Tempe,SS,Social Sciences Building
006A,Tempe,ED,Farmer Education Building
006B,Tempe,EDB,Payne Hall
006C,Tempe,EDC,Education Lecture Hall
007,Tempe,ISTBX,Interdisciplinary Science and Technology Building 10
008,Tempe,CHAPL,todo
009,Tempe,GHALL,todo
010,Tempe,LIB,Hayden Library
011,Tempe,UCLUB,todo
012,Tempe,DH,Durham Hall
013,Tempe,PSY,Psychology Building
014,Tempe,HAYDN,Hayden Hall
014E,Tempe,HHE,Hayden Hall East
014W,Tempe,HHW,Hayden Hall West
040,Tempe,BA,Business Administration
040C,Tempe,BAC,Business Administration C-Wing
040D,Tempe,MCRD,McCord Hall
053A,Tempe,ECA,Engineering Center A
053B,Tempe,ECB,Engineering Center B
053C,Tempe,ECC,Engineering Center C
053D,Tempe,ECD,Engineering Center D
053E,Tempe,ECE,Engineering Center E
053F,Tempe,ECF,Engineering Center F
053G,Tempe,ECG,Engineering Center G
054,Tempe,ISTB2,Interdisciplinary Science and Technology Building 2
055,Tempe,SCOB,Schwada Classroom and Office Building
056A,Tempe,LSA,Life Sciences Center A
056B,Tempe,LSB,Life Sciences Center B
056C,Tempe,LSC,Life Sciences Center C
056D,Tempe,LSD,Life Sciences Center D
056E,Tempe,LSE,Life Sciences Tower E
057A,Tempe,WXLR,Wexler Hall
057B,Tempe,PSB,Bateman Physical Sciences Center B
057C,Tempe,PSC,Bateman Physical Sciences Center C
057D,Tempe,PSD,Bateman Physical Sciences Center D
057E,Tempe,PSE,Bateman Physical Sciences Center E
057F,Tempe,PSF,Bateman Physical Sciences Center F
057G,Tempe,PSG,Bateman Chemical Storage Center G
057H,Tempe,PSH,Bateman Physical Sciences Center H
173A,Tempe,SGHAL,Barrett Sage Hall
173B,Tempe,AGVHAL,Barrett Agave Hall
173C,Tempe,CERHAL,Barrett Cereus Hall
173D,Tempe,CWHAL,Barrett Cottonwood Hall
173E,Tempe,JNHAL,Barrett Juniper Hall
173F,Tempe,RWHAL,Barrett Rosewood Hall
173G,Tempe,WILOHAL,Barrett Willow Hall
173H,Tempe,HONHAL,Barrett Honors Hall